CountryName,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Population,CapitalLatitude,CapitalLongitude
Luxembourg,"57,503",,681 ,,"2,881","633,023",49.6,6.116667
Afghanistan,"55,957",,"2,457 ",,"4,001","39,532,913",34.516666666666666,69.18333299999999
Namibia,"40,810",,456 ,,"2,137","2,572,709",-22.566666666666666,17.083333
Cameroon,"40,622",,601 ,,"4,760","27,000,972",3.8666666666666663,11.516667
Uganda,"40,544",,334 ,,"25,115","46,732,418",0.31666666666666665,32.55
Cyprus,"38,879",,238 ,,"36,584","1,213,465",35.166666666666664,33.366667
Ivory Coast,"36,824",,211 ,,"3,346","26,828,189",105.0,105.0
Senegal,"36,569",,951 ,,"3,641","17,047,593",14.733333333333333,-17.633333
Zimbabwe,"36,423",,"1,496 ",,931,"15,012,729",-17.816666666666666,31.033333000000002
Botswana,"34,098",,424 ,,"4,792","2,384,409",-24.63333333333333,25.9
Malawi,"32,746",,"1,079 ",,"6,245","19,470,243",-13.966666666666667,33.783333
Jamaica,"29,387",,480 ,,"13,995","2,970,159",18.0,-76.8
Australia,"29,106",+4,909 ,,"1,974","25,705,031",-35.266666666666666,149.133333
Sudan,"28,984",,"1,940 ",,"3,647","44,554,963",15.6,32.533333
DRC,"26,846",,712 ,,"3,702","91,431,296",113.0,113.0
Thailand,"26,679",,85 ,,538,"69,921,924",13.75,100.516667
Malta,"25,969",,346 ,,"3,188","442,362",35.88333333333333,14.5
Maldives,"21,382",,64 ,,"2,538","547,126",4.166666666666667,73.5
Angola,"21,265",,519 ,,911,"33,568,110",-8.833333333333334,13.216667000000001
Madagascar,"20,155",,300 ,,312,"28,181,106",-18.916666666666668,47.516667
Rwanda,"20,057",,275 ,,"1,421","13,173,363",-1.95,30.05
Mayotte,"18,642",,129 ,,"15,549","277,350",120.0,120.0
French Polynesia,"18,527",,141 ,,"13,544","282,037",-17.533333333333335,-149.566667
